Group,Route Path,Page / Feature Name,Access Level,File Location,Guards / Prerequisites,Key Sub-Components,Primary Capabilities,User Flows Triggered,URL Parameters / Query Keys,,,,,
Public,/about,About Us,Public (Guest),apps/web/src/app/(public)/about/page.tsx,None,"InfoPage, MissionSection","Company mission, vision, core values, platform governance overview",Read company background,None,,,,,
Public,/contact,Contact & Grievance Desk,Public (Guest),apps/web/src/app/(public)/contact/page.tsx,None,"InfoPage, LegalGrievanceCard, ContactCardGrid","Customer support helpline, email, registered office address, statutory Grievance Officer details","Contact support, report statutory grievance, submit B2B wholesale inquiry",None,,,,,
Public,/faq,Help Center & FAQ,Public (Guest),apps/web/src/app/(public)/faq/page.tsx,None,"InfoPage, Accordion, AccordionItem","8 categorized expandable accordion sections covering accounts, buying, selling, services, business, payments, safety, legal","Search FAQ topics, expand questions, click policy deep-links",None,,,,,
Public,/safety-tips,Trust & Safety Guidelines,Public (Guest),apps/web/src/app/(public)/safety-tips/page.tsx,None,"InfoPage, SafetyBanner, ChecklistGrid","Meetup safety checklist, scam prevention advice, counterfeit hardware detection guide",Review inspection checklist before buying parts,None,,,,,
Public,/terms,Terms of Service,Public (Guest),apps/web/src/app/(public)/terms/page.tsx,None,"InfoPage, LegalSection","User agreement, prohibited items, listing moderation rules, jurisdiction",Review legal platform terms,None,,,,,
Public,/privacy,Privacy Policy,Public (Guest),apps/web/src/app/(public)/privacy/page.tsx,None,"InfoPage, LegalSection","Data retention schedule, phone visibility privacy policies, cookie consent, account deletion rights",Review privacy practices and data rights,None,,,,,
Public,/site-map,HTML Sitemap,Public (Guest),apps/web/src/app/(public)/site-map/page.tsx,None,"InfoPage, LinkTree","Directory of all marketplace categories, catalog brands, information pages, and legal documents",Navigate to indexed sections of platform,None,,,,,
Public,/unauthorized,Unauthorized Access Notice,Public (Guest),apps/web/src/app/(public)/unauthorized/page.tsx,None,"UnauthorizedActions, ShieldOff",Warning screen for unauthorized role access with switch-account button,"Switch account, return to homepage",None,,,,,
Public,/offline,PWA Offline Fallback,Public (Guest),apps/web/src/app/offline/page.tsx,None,"Card, OfflineReloadButton",Service worker offline cache screen with reconnect retry handler and status badge,"Retry network connection, return home",None,,,,,
Private,/account/profile,Personal Account Info,Authenticated User,apps/web/src/app/(private)/account/profile/page.tsx,AuthGuard & proxy.ts,"AccountPageShell, PersonalTab, PersonalProfileEmailSection, PersonalProfileGstSection, PersonalProfileMobileVisibilitySection","Name, avatar photo upload, phone verification, email binding, GSTIN entry, phone visibility privacy controls (Show/Hide/On-Request)","Update profile details, upload avatar, configure phone privacy setting, save changes",None,,,,,
Private,/account/ads,My Ads Dashboard,Authenticated User,apps/web/src/app/(private)/account/ads/page.tsx,AuthGuard & proxy.ts,"AccountPageShell, MyListingsTab, MyListingsDialogs, AdCard","Status counters (Live, Pending, Expired, Rejected), edit ad, mark as sold, delete listing, boost/promote listing","Filter ads by status, edit ad, delete ad, activate spotlight/top ad boost, post new ad","status (all, live, pending, expired, rejected)",,,,,
Private,/account/services,My Repair Services,Verified Business,apps/web/src/app/(private)/account/services/page.tsx,requireBusinessAuth,"AccountPageShell, MyListingsTab, ServiceCard","Manage repair service offerings, pricing ranges, edit/delete services, view status","View service listings, edit service details, create new repair service","status (all, live, pending, expired, rejected)",,,,,
Private,/account/spare-parts,My Spare Parts Inventory,Verified Business,apps/web/src/app/(private)/account/spare-parts/page.tsx,requireBusinessAuth,"AccountPageShell, MyListingsTab, SparePartCard","Manage hardware inventory, stock levels, OEM part numbers, price per unit, edit/delete parts","Track inventory count, edit spare part details, post new spare part","status (all, live, pending, expired, rejected)",,,,,
Private,/account/saved,Saved / Favorite Ads,Authenticated User,apps/web/src/app/(private)/account/saved/page.tsx,AuthGuard & proxy.ts,"AccountPageShell, SavedAdsTab, AdCardGrid","Bookmarked listings grid, quick chat initiation, remove bookmark","View saved items, initiate quick chat, remove bookmark",None,,,,,
Private,/account/messages,Chat Inbox & Threads,Authenticated User,apps/web/src/app/(private)/account/messages/page.tsx,AuthGuard & proxy.ts,"AccountPageShell, AccountMessagesWorkspace, ChatList","Active/Archived/Unread inbox views, thread list, unread counters, search chats, conversation preview","Search chat threads, switch inbox view (active/archived/unread), select conversation","view (active, archived, unread)",,,,,
Private,/account/messages/[conversationId],Direct Chat Conversation Thread,Authenticated Participant,apps/web/src/app/(private)/account/messages/[conversationId]/page.tsx,AuthGuard & participant check,"ConversationView, MessageBubbleList, ChatInput, QuickReplyChips","P2P real-time messaging, listing context bar, attachment upload, quick reply chips, read receipts, anti-fraud safety alert","Send text/image messages, tap quick replies, archive chat, block user, report seller",[conversationId],,,,,
Private,/account/wallet,Esparex Wallet & Credits,Authenticated User,apps/web/src/app/(private)/account/wallet/page.tsx,AuthGuard & proxy.ts,"AccountPageShell, PlansTab, WalletOverviewCard, CreditPackListCard, CreditLedgerHistoryCard, ActiveSubscriptionCard","Wallet rupee balance, credit breakdown (Free slots, Paid credits, Spotlight credits, Top Ad credits), ledger history, subscription tier","View balance, inspect ledger history, initiate credit top-up",None,,,,,
Private,/account/plans,Subscription Plans & Ad Packs,Authenticated User,apps/web/src/app/(private)/account/plans/page.tsx,AuthGuard & proxy.ts,"AccountPageShell, PlansTab, DynamicPlanCard, PlanPurchaseDialog, PlanCheckoutGstSection","Dynamic ad packs, spotlight credits, top ad credits, subscription tiers, Razorpay payment checkout, GST tax credit capture","Select ad pack/plan tier, enter GST details, complete Razorpay payment, download receipt",None,,,,,
Private,/account/purchases,Purchase History & Invoices,Authenticated User,apps/web/src/app/(private)/account/purchases/page.tsx,AuthGuard & proxy.ts,"AccountPageShell, PlansTab, RecentPaymentsCard, InvoicePreviewDialog","Order history, transaction IDs, payment methods, GST invoice preview, download official tax invoice PDF","View past orders, preview invoice, download tax invoice PDF",None,,,,,
Private,/account/alerts,Smart Search & Price Alerts,Authenticated User,apps/web/src/app/(private)/account/alerts/page.tsx,AuthGuard & proxy.ts,"AccountPageShell, SmartAlertsTab, CreateSmartAlertDialog, LocationRadiusSlider, DeliveryChannelsSelector","Keyword and radius search alerts, notification channels (Push/Email/SMS), alert frequency (Instant/Daily), toggle on/off, delete","Create new smart alert, adjust radius slider, toggle alert active/paused, view matching ads",None,,,,,
Private,/account/business,My Business Hub,Authenticated User,apps/web/src/app/(private)/account/business/page.tsx,AuthGuard & proxy.ts,"AccountPageShell, BusinessTab, BusinessStatusBanner","Business verification status (Pending, Approved, Rejected, Suspended), analytics (views/clicks/leads), shop open/close toggle, storefront link","Check verification progress, toggle shop open/closed, view analytics, navigate to public storefront",None,,,,,
Private,/account/business/apply,Business Registration & KYC,Verified Phone User,apps/web/src/app/(private)/account/business/apply/page.tsx,Verified mobile phone,"BusinessProfileFlow, StepBasicDetails, StepAddress, FileUploadCard, ShopPhotosField, BusinessApplicationStatus","4-step registration wizard: Shop basic info, address & map pin, GST/PAN document upload, storefront photos, application status tracker","Fill business details, pin map location, upload KYC documents, submit for review, check approval status",None,,,,,
Private,/business/edit,Business Profile Editor,Existing Business,apps/web/src/app/(private)/business/edit/page.tsx,Registered business,"BusinessProfileFlow, StepBasicDetails, StepAddress, ShopPhotosField","Edit business description, operating hours, shop address, customer support phone, logo & banner photos","Update shop info, replace photos, adjust operating schedule, save business profile",None,,,,,
Private,/account/settings,Account Settings & Security,Authenticated User,apps/web/src/app/(private)/account/settings/page.tsx,AuthGuard & proxy.ts,"AccountPageShell, SettingsTab, DeleteAccountDialog","Notification channel toggles (Push/SMS/Email/WhatsApp), active session review, permanent account deletion (DELETE prompt)","Toggle notification preferences, review active logins, trigger permanent account deletion",None,,,,,
Private,/post-ad,Post General Ad Wizard,User + Available Quota,apps/web/src/app/(private)/post-ad/page.tsx,Posting balance check,"PostAdWizard, StepOne, StepTwo, PostAdShell, ListingModalLayout, ListingSubmissionSuccessModal","2-step wizard: Category/Brand/Model/Condition/Title/Price, photo uploader (drag-and-drop/camera), location selector, phone visibility toggle, quota check","Select category/model, enter price & description, upload photos, set location, submit ad, view pending ad",None,,,,,
Private,/post-service,Post Repair Service Wizard,Verified Business,apps/web/src/app/(private)/post-service/page.tsx,requireBusinessAuth & Gate,"BusinessListingGatePage, PostServiceForm, ListingForm","Dedicated service form: Device category, supported brands, service types multi-select, price range, turnaround time, warranty terms","Select service category, choose service types, set price range & warranty, publish repair service",None,,,,,
Private,/post-spare-part-listing,Post Spare Part Wizard,Verified Business,apps/web/src/app/(private)/post-spare-part-listing/page.tsx,requireBusinessAuth & Gate,"BusinessListingGatePage, PostSparePartForm, ListingForm","Dedicated component form: Spare part type, OEM vs aftermarket origin, target model compatibility, stock count, unit price","Select part type, set origin grade, configure target device compatibility, enter price, publish part",None,,,,,
Private,/edit-ad/[id],Edit General Ad,Ad Author Only,apps/web/src/app/(private)/edit-ad/[id]/page.tsx,requireUserAuth & author check,"PostAdWizard, StepOne, StepTwo, EditAdWrapper","Pre-populated ad edit wizard, photo modification, price adjustments, description updates, re-submission","Modify ad fields, upload/remove photos, update asking price, save changes",[id],,,,,
Private,/edit-service/[id],Edit Repair Service,Service Author Only,apps/web/src/app/(private)/edit-service/[id]/page.tsx,requireBusinessAuth & author check,"PostServiceForm, ListingForm","Pre-populated service edit form, update service types, pricing, turnaround time, warranty terms","Update service details, adjust price range, save changes",[id],,,,,
Private,/edit-spare-part/[id],Edit Spare Part Listing,Part Author Only,apps/web/src/app/(private)/edit-spare-part/[id]/page.tsx,requireBusinessAuth & author check,"PostSparePartForm, ListingForm","Pre-populated spare part form, update stock count, unit price, compatibility, photos","Update component specs, update inventory count, adjust price, save changes",[id],,,,,
Overlay,Global Floating Modal,Passwordless Auth Modal,Public (Triggered),apps/web/src/components/auth/AuthModal.tsx,None,"AuthModal, LoginFlow, LoginMobileStep, LoginOtpStep","10-digit Indian phone number input, +91 validation, 6-digit OTP verification, 60s resend timer, JWT session creation, callback redirect","Enter phone number, receive SMS OTP, enter 6-digit code, return to intended flow",callbackUrl,,,,,
Overlay,Global Floating Modal,Location Selector Modal,Public (Triggered),apps/web/src/components/location/LocationSelector.tsx,None,"LocationSelector, LocationOverlayHost, LocationResultsList","Browser GPS auto-locate with reverse geocoding, State->District->City hierarchy search, popular metropolitan city chips, cookie persistence","Click location pill, grant GPS or search city name, select locality, apply location filter",None,,,,,
Overlay,Global Floating Modal,Boost Listing Modal,Authenticated Ad Owner,apps/web/src/components/user/boost/BoostPlanCards.tsx,Must own listing,"BoostPlanCards, BoostPlanCard","Spotlight Ad (pinned to home & search banner) vs Top Ad (boosted category ranking), credit deduction or Razorpay payment","Click boost button on listing, select boost tier, confirm credit deduction or purchase credits",None,,,,,
Overlay,Global Floating Modal,Report Listing Modal,Public (Triggered),apps/web/src/components/user/listing-detail/ListingDetailDialogs.tsx,None,"ListingDetailDialogs, ReportListingModal","Select abuse category (Counterfeit, Fraud/Scam, Prohibited Item, Inaccurate Specs, Offensive), optional explanation text, submits ticket","Click report ad, select reason, write explanation, submit report to moderation queue",None,,,,,
Overlay,Global Floating Modal,Social Share Modal,Public (Triggered),apps/web/src/components/user/listing-detail/ListingDetailDialogs.tsx,None,"ListingDetailDialogs, WebShareDrawer","Native OS Web Share API trigger on mobile, WhatsApp 1-tap share, Facebook, X (Twitter), copy link to clipboard with toast","Click share icon, choose WhatsApp or copy link, paste into external chat",None,,,,,
Overlay,Global Floating Modal,Unsaved Changes Guard,Public / Private Form,packages/ui/src/components/UnsavedChangesDialog.tsx,Dirty form state,"UnsavedChangesDialog, Dialog",Intercepts tab navigation or page close when form fields are modified without saving,"Attempt navigation with unsaved edits, choose Discard Changes or Keep Editing",None,,,,,
System,/not-found,404 Not Found Page,Public,apps/web/src/app/not-found.tsx,None,"NotFoundShell, HomeButton","Friendly 404 error screen, search suggestion links, return to homepage CTA","User lands on invalid URL, clicks home button or search link",None,,,,,
System,/error,Client Error Boundary,Public,apps/web/src/app/error.tsx,None,"ErrorFallback, TryAgainButton","Catches unhandled runtime React exceptions, logs error, provides Try Again recovery button","Application encounters error, user clicks Try Again to re-render",None,,,,,
System,/global-error,Root Error Boundary,Public,apps/web/src/app/global-error.tsx,None,"GlobalErrorFallback, ResetButton","Catches fatal root layout crashes, minimal HTML/body fallback with system fonts","Root layout failure, user clicks Reset to reload",None,,,,,
System,/robots.txt,Dynamic Robots Directives,Public / Crawler,apps/web/src/app/robots.ts,None,None,"Generates robots.txt rules, disallows /account/* and /admin/*, allows public catalog and search routes",Search engine bot crawling directives,None,,,,,
System,/sitemap.xml,Dynamic XML Sitemap,Public / Crawler,apps/web/src/app/sitemap.ts,None,None,"Generates sitemap.xml listing all categories, brands, static pages, and top live listings",Search engine bot URL discovery,None,,,,,
System,/api/upload/ad-image,Ad Image Upload Route,Authenticated User,apps/web/src/app/api/upload/ad-image/route.ts,User authentication,"NextRequest, S3/Cloudinary Adapter",Server API endpoint for authenticated multipart image file uploads with size and mime-type validation,"Frontend wizard uploads photo files, receives CDN URLs",None,,,,,
System,/internal/revalidate,On-Demand ISR Revalidation,Internal Webhook,apps/web/src/app/internal/revalidate/route.ts,Secret token check,"NextRequest, revalidatePath, revalidateTag","Internal webhook invoked on listing creation/update to flush Next.js ISR cache tags (home-ads, listings)",Backend worker dispatches cache flush event,None,,,,,
